2025-12-07 16:15:17 [Bot-4] Запущен payout 1000..9999; periodic recovery: interval=200, range=100..200, max_spins=100
2025-12-07 16:15:43 [Bot-4] [LOSS] spin 64 payout=1063 roll=80.6400000000 bet=0.00100000 cycle_loss=0.06400000 loss_total=0.06400000
2025-12-07 16:15:44 [Bot-4] [LOSS] spin 65 payout=1064 roll=71.4500000000 bet=0.00100000 cycle_loss=0.06500000 loss_total=0.06500000
2025-12-07 16:15:44 [Bot-4] [LOSS] spin 66 payout=1065 roll=70.4670000000 bet=0.00100000 cycle_loss=0.06600000 loss_total=0.06600000
2025-12-07 16:15:45 [Bot-4] [LOSS] spin 67 payout=1066 roll=44.3140000000 bet=0.00100000 cycle_loss=0.06700000 loss_total=0.06700000
2025-12-07 16:15:45 [Bot-4] [LOSS] spin 68 payout=1067 roll=0.6100000000 bet=0.00100000 cycle_loss=0.06800000 loss_total=0.06800000
2025-12-07 16:15:46 [Bot-4] [LOSS] spin 69 payout=1068 roll=9.1350000000 bet=0.00100000 cycle_loss=0.06900000 loss_total=0.06900000
2025-12-07 16:15:46 [Bot-4] [LOSS] spin 70 payout=1069 roll=7.7720000000 bet=0.00100000 cycle_loss=0.07000000 loss_total=0.07000000
2025-12-07 16:15:47 [Bot-4] [LOSS] spin 71 payout=1070 roll=33.4810000000 bet=0.00100000 cycle_loss=0.07100000 loss_total=0.07100000
2025-12-07 16:15:47 [Bot-4] [LOSS] spin 72 payout=1071 roll=81.1060000000 bet=0.00100000 cycle_loss=0.07200000 loss_total=0.07200000
2025-12-07 16:15:47 [Bot-4] [LOSS] spin 73 payout=1072 roll=4.6750000000 bet=0.00100000 cycle_loss=0.07300000 loss_total=0.07300000
2025-12-07 16:15:48 [Bot-4] [LOSS] spin 74 payout=1073 roll=87.8660000000 bet=0.00100000 cycle_loss=0.07400000 loss_total=0.07400000
2025-12-07 16:15:48 [Bot-4] [Bot-4] 🔎 Settings: MinBet=0.001 Edge=1.0 (frac=0.01)
2025-12-07 16:15:49 [Bot-4] [LOSS] spin 75 payout=1074 roll=45.6810000000 bet=0.00100000 cycle_loss=0.07500000 loss_total=0.07500000
2025-12-07 16:15:49 [Bot-4] [LOSS] spin 76 payout=1075 roll=5.3510000000 bet=0.00100000 cycle_loss=0.07600000 loss_total=0.07600000
2025-12-07 16:15:49 [Bot-4] [LOSS] spin 77 payout=1076 roll=47.3330000000 bet=0.00100000 cycle_loss=0.07700000 loss_total=0.07700000
2025-12-07 16:15:50 [Bot-4] [LOSS] spin 78 payout=1077 roll=84.7470000000 bet=0.00100000 cycle_loss=0.07800000 loss_total=0.07800000
2025-12-07 16:15:50 [Bot-4] [LOSS] spin 79 payout=1078 roll=45.3850000000 bet=0.00100000 cycle_loss=0.07900000 loss_total=0.07900000
2025-12-07 16:15:50 [Bot-4] [LOSS] spin 80 payout=1079 roll=91.5260000000 bet=0.00100000 cycle_loss=0.08000000 loss_total=0.08000000
2025-12-07 16:15:51 [Bot-4] [LOSS] spin 81 payout=1080 roll=11.5100000000 bet=0.00100000 cycle_loss=0.08100000 loss_total=0.08100000
