Python 3.13.7 (tags/v3.13.7:bcee1c3, Aug 14 2025, 14:15:11) [MSC v.1944 64 bit (AMD64)] on win32
Enter "help" below or click "Help" above for more information.

= RESTART: C:\Users\Kokkc\Downloads\crypto_games_bot_stable_100-9999_norm_versiya_Version36_Version9.py
22:03:07 [Bot-1] Запущен payout 1000..9999 highroll99=False
22:03:07 [Bot-2] Запущен payout 1000..9999 highroll99=False
22:03:07 [Bot-3] Запущен payout 1000..9999 highroll99=False
22:03:07 [Bot-4] Запущен payout 1000..9999 highroll99=False
22:03:08 [Bot-2] [Bot-2] Старт баланс=33.34213908
22:03:08 [Bot-1] [Bot-1] Старт баланс=33.34213908
22:03:08 [Bot-3] [Bot-3] Старт баланс=33.34213908
22:03:08 [Bot-4] [Bot-4] Старт баланс=33.34213908
22:03:08 [Bot-1] [Bot-1] 🔎 Settings: MinBet=0.001 Edge=1.0
22:03:08 [Bot-3] [Bot-3] 🔎 Settings: MinBet=0.001 Edge=1.0
22:03:08 [Bot-2] [Bot-2] 🔎 Settings: MinBet=0.001 Edge=1.0
22:03:08 [Bot-4] [Bot-4] 🔎 Settings: MinBet=0.001 Edge=1.0
22:03:14 [Bot-4] [LOSS] spin 16 payout=1015 roll=9.1750000000 bet=0.00100000
22:03:14 [Bot-1] [LOSS] spin 17 payout=1016 roll=49.5620000000 bet=0.00100000
22:03:14 [Bot-3] [LOSS] spin 18 payout=1017 roll=96.4440000000 bet=0.00100000
22:03:14 [Bot-2] [LOSS] spin 18 payout=1017 roll=13.9280000000 bet=0.00100000
22:03:14 [Bot-4] [LOSS] spin 17 payout=1016 roll=81.4510000000 bet=0.00100000
22:03:14 [Bot-1] [LOSS] spin 18 payout=1017 roll=36.2270000000 bet=0.00100000
22:03:14 [Bot-3] [LOSS] spin 19 payout=1018 roll=38.0970000000 bet=0.00100000
22:03:14 [Bot-2] [LOSS] spin 19 payout=1018 roll=55.2010000000 bet=0.00100000
22:03:14 [Bot-4] [LOSS] spin 18 payout=1017 roll=7.8530000000 bet=0.00100000
22:03:14 [Bot-1] [LOSS] spin 19 payout=1018 roll=54.2300000000 bet=0.00100000
22:03:14 [Bot-3] [LOSS] spin 20 payout=1019 roll=10.7690000000 bet=0.00100000
22:03:15 [Bot-2] [LOSS] spin 20 payout=1019 roll=68.9760000000 bet=0.00100000
22:03:15 [Bot-4] [LOSS] spin 19 payout=1018 roll=49.9620000000 bet=0.00100000
22:03:15 [Bot-1] [LOSS] spin 20 payout=1019 roll=99.8990000000 bet=0.00100000
22:03:15 [Bot-3] [LOSS] spin 21 payout=1020 roll=44.2080000000 bet=0.00100000
22:03:15 [Bot-2] [LOSS] spin 21 payout=1020 roll=38.3620000000 bet=0.00100000
22:03:15 [Bot-4] [LOSS] spin 20 payout=1019 roll=33.7640000000 bet=0.00100000
